"response_id","start_date","comput_id","exclude_unfinished","exclude_attention","exclude_manual","what1","what2"
"R_1lAKpGPkJLzDuXk","2019/04/01 18:10:25",NA,TRUE,FALSE,FALSE,"A vizsgálat arról szólt hogy mennyire okosak vagyunk. Hogy megmérjük a tudásunkat, és azzal segitsünk a kutatoknak.","Nem. Lehet hogy tényleg nem vagyok okos ahogyan hittem. :)"
"R_3JDgv7D8XIRAqmr","2019/04/01 18:10:45",NA,TRUE,FALSE,FALSE,"A résztvevők intelligienciájának felméréséről szól, még pedig, hogy hogyan tudnak az  teljesíteni zárt nyugodt környezetben","Egy átlagos IQ tesztnek tűnt. A teszt előtt meditáció zavart, többször próbáltam korábban, de minig megfájdult a fejem. Tőlem telhetően igyekezterm figyelni, de lehet, hogy ki hagyott a teljesítményemre."
"R_3DpdWN8Lli3gdPK","2019/04/01 18:10:14",NA,TRUE,FALSE,FALSE,"A vizsgálat az IQ teszt fejlesztésének céljaként jött létre.","Nem."
"R_3nBNwIN3C6TpKw8","2019/04/01 18:20:56",NA,TRUE,FALSE,FALSE,"Szerint arról, hogy mennyire számít az, hogy élesben megy-e egy IQ teszt, avagy sem. Szóval a résztvevő mennyire veszi komolyan pl a bemelegítő feladatot. Persze ez mellett még biztos volt más célja is :)","Nem, csak idegesítő volt, hogy nem a képre kellett kattintani, hanem a kép sorszámára(ami még lejjebb volt), így egy csomó idő elment feleslegesen."
"R_1Kvvew6MUGY4ZAP","2019/04/01 18:09:31",NA,TRUE,FALSE,FALSE,"Hogyan befolyásolja a szellemi teljesítményt a tesztelő érzelmei.","Nem."
"R_a9pKpPoJfJgY8PD","2019/04/01 18:09:14",NA,TRUE,FALSE,FALSE,"Intelligenciaszint mérése. Nyugodt, kényelmes környezetben, magunkra koncentrálva, stresszmentesen, teljes odafigyeléssel.","A valódi tesztben a feladatok valamivel könnyebbek voltak, mint a teszt részben."
"R_1jcBFfOc670lw2y","2019/04/01 18:08:58",NA,TRUE,FALSE,FALSE,"A vizsgálat arról szólt, hogy egy eddig alkalmazott és bevált IQ tesztet kellett kitöltenünk.
A kutatók célja szerintem az, hogy az IQ tesztekkel, intelligencia mérésével kapcsolatos hiedelmeket vizsgálják, valamint azokat a személyiségvonásokat megállapítsák, amik a magasabb intelligenciával járnak együtt.","Nem."
"R_3Hqyl2nWxkuWeG3","2019/04/01 18:26:33",NA,TRUE,FALSE,FALSE,"Az, hogy lab-asszisztens lehessek :)","lehetetlen teljesíteni"
"R_qOfYLG8G75PJIfD","2019/03/30 10:36:04",NA,TRUE,TRUE,FALSE,"bbbbbbbb","jjjjjj"
"R_3PYSgD8WZUs9pd5","2019/03/18 18:28:39",NA,TRUE,NA,FALSE,NA,NA
"R_2dKhkI8bRgS9FEA","2019/03/18 18:23:19",NA,TRUE,NA,FALSE,NA,NA
"R_1gBBj9gV4xLZds4","2019/03/18 18:22:55",NA,TRUE,NA,FALSE,NA,NA
"R_21t8DJpWykiMwE4","2019/03/18 18:22:53",NA,TRUE,NA,FALSE,NA,NA
"R_3HjgfTsvipG3z5d","2019/03/18 18:23:01",NA,TRUE,NA,FALSE,NA,NA
"R_Bxha9soQvK9RDod","2019/03/18 18:23:38",NA,TRUE,NA,FALSE,NA,NA
"R_3Kp8PYhfUCjiN4Y","2019/03/18 18:36:28",NA,TRUE,NA,FALSE,NA,NA
"R_vrGrGcJzX4uxlyV","2019/03/28 15:44:01",NA,TRUE,NA,FALSE,NA,NA
"R_3FVxIPD1i79qBos","2019/04/07 15:31:12",NA,TRUE,NA,FALSE,NA,NA
"R_1Gx1RoZXh9YrT4l","2019/04/07 15:35:08",NA,TRUE,NA,FALSE,NA,NA
"R_V51QPZIya85Bc2d","2019/04/07 15:36:53",NA,TRUE,NA,FALSE,NA,NA
"R_Zse7vxaYHL62Bzz","2019/04/07 15:37:07",NA,TRUE,NA,FALSE,NA,NA
"R_1LM5dt3PqbPLeCo","2019/04/07 15:38:47",NA,TRUE,NA,FALSE,NA,NA
"R_1pXS25B3ZT8ahJu","2019/04/01 18:11:37",NA,TRUE,NA,FALSE,NA,NA
"R_1pyfwCpBktLTbMW","2019/04/01 18:09:43",NA,TRUE,NA,FALSE,NA,NA
"R_1f1ObxEAlIebYmT","2019/04/08 18:22:35",NA,TRUE,NA,FALSE,NA,NA
"R_1EY9wSY9PCa4YzI","2019/04/10 08:49:32",NA,TRUE,NA,FALSE,NA,NA
"R_pSN9z816lO3k9rz","2019/04/11 18:10:54","P-422-15",TRUE,NA,FALSE,NA,NA
"R_26uEjyfk16O20QV","2019/05/13 17:57:22","P-422-02",TRUE,NA,FALSE,NA,NA
"R_8esTpWxYEamzV1T","2019/09/17 12:54:02",NA,TRUE,NA,FALSE,NA,NA
"R_1Eh8Dt2Gn3YlVkZ","2019/09/16 16:37:16","p-422-02",TRUE,NA,FALSE,NA,NA
"R_XicbSbDrbCQJhMB","2019/09/19 14:30:26","p-422-11",TRUE,NA,FALSE,NA,NA
"R_tEQi55cifgUiytz","2019/09/19 18:46:49","Ő-422-12",TRUE,NA,FALSE,NA,NA
