response_id,extra_tasks,start_date,end_date,comput_id,gender,age,education,term_no,field,mindset,intervention,ms_1,ms_2,ms_3,ms_4,cams_1,cams_2,cams_3,cams_4,cams_5,cams_6,cams_7,cams_8,cams_9,cams_10,cams_11,cams_12,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,risc_1,risc_2,risc_3,risc_4,risc_5,risc_6,risc_7,risc_8,risc_9,risc_10,risc_11,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,mc_1,mc_2,mc_3,outro_experiences_1,outro_experiences_2,outro_experiences_3,outro_experiences_4,outro_experiences_5,outro_experiences_6,outro_experiences_7,outro_experiences_8,outro_experiences_9,previous_iq_score,agt_p_1,agt_p_2,agt_p_3,agt_p_4,agt_p_5,agt_p_6,agt_p_7,agt_p_8,agt_p_9,agt_p_10,agt_p_11,agt_p_12,iq_assessed,iq_importance,iq_confid_1,meditation,coffee,alcohol,drug,what1,what2
R_06WwyVG4704ThIJ,1,2019/10/10 17:31:18,2019/10/10 18:43:27,P-422-02,Female,19,Folyamatban lévo egyetemi tanulmányok,0,Germanisztika,Fixed,Mindfulness,2,5,1,2,3,4,1,1,2,2,4,2,2,1,2,2,5,2,1,5,1,1,3,5,5,2,5,4,2,2,2,1,1,1,1,3,3,3,2,4,1,4,3,4,2,2,2,1,1,1,3,3,2,4,5,3,3,2,2,2,5,2,3,3,3,3,5,4,NA,6,6,3,6,5,5,4,2,6,7,6,6,Nem,Különösen fontos.,4,Egy héten többször,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Az intelligencia szint felmérése, koncentrálóképesség igénybevétele.",Nem
R_117UsPDvdwaNZ4N,5,2019/09/26 17:47:33,2019/09/26 18:48:13,P-402-10,Female,20,Folyamatban lévo egyetemi tanulmányok,2,Programtervezo informatikus,Fixed,Control,4,3,4,5,3,3,3,2,4,2,2,3,3,3,4,3,4,4,3,3,4,5,3,3,3,4,2,2,2,3,1,2,0,2,2,1,1,2,2,3,3,2,3,3,3,3,3,2,3,2,3,5,3,2,4,5,2,3,4,2,3,2,4,5,2,6,5,4,NA,6,6,5,6,6,5,5,6,6,6,6,5,Nem,Fontos.,4,Havonta,Egy csészével.,Négy egységnyit fogyasztottam.,"Nem, nem használtam.","A vizsgálat célja az ábrák közötti kapcsolatok megtalálása volt, amit néha teljesen egyértelmu volt, néhol pedig szinte átláthatalan. Így biztosan a feladatok nehézsége alapján vonnak majd le következtetéseket.","Mivel még korábban sosem vettem részt IQ tsztben, nem tudom máshoz hasonlítani. Néhol meglepo volt a feladatok közti hasonlóság."
R_11hDyW1gHGjL0fD,2,2019/05/06 18:03:08,2019/05/06 18:56:48,P-422-20,Female,20,Folyamatban lévo egyetemi tanulmányok,1,Pszichológia,Growth,Mindfulness,5,2,5,6,2,3,1,2,4,4,2,4,3,1,2,1,4,2,2,4,2,3,2,4,5,2,4,4,2,1,2,1,2,1,1,2,2,2,3,2,4,2,4,3,4,1,4,1,5,2,4,4,3,5,4,4,3,2,5,1,5,2,5,6,1,5,3,5,NA,7,7,1,7,1,7,1,1,7,7,7,7,Nem,Különösen fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Az, hogy lássák a különbséget az otthoni, kényelmes, és a laboratóriumi, kevésbé kényelmes kitöltések eredményei között, hogy lássák, mennyiben befolyásolja a kérdoív alkalmazhatóságát a laboratóriumi körülmény.","Nem igazán, csak magamon."
R_11YBVIGqVZlXAmG,4,2019/10/10 17:34:43,2019/10/10 18:51:35,P-402-19,Male,23,Folyamatban lévo egyetemi tanulmányok,0,Pszichológia,Fixed,Mindfulness,5,2,5,5,4,3,2,4,4,2,3,4,4,4,3,3,1,5,4,1,3,5,4,2,2,4,3,3,3,3,0,3,0,3,3,0,0,3,3,3,2,2,2,4,4,3,4,3,4,4,5,3,4,3,3,3,6,1,5,1,6,1,2,2,5,2,1,5,3,6,4,6,2,3,2,6,6,2,7,6,4,Igen,Különösen fontos.,6,Egy héten többször,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Van egy olyan tippem, hogy a bemelegíto feladatokra kapott értékelés, miszerint átlag alatti képességeim vannak, hamis volt.. Ezzel egyfajta mesterséges stresszhelyzetet szerettek volna generálni, ami a folytatásban önbizalomvesztéshez vezethetett volna, és negatívan hatott volna a késobbi teljesítményemre.
A hanganyag ennek az érzésnek a leküzdésében szeretett volna segíteni, viszont ez a gondolat, - miszerint az értékelés hamis - már a hanganyag hallgatása közben megfogalmazódott bennem, így teljes mértékben ki tudtam zárni, és ugyanolyan lelkesedéssel tudtam folytatni az éles tesztet.",Feljebb mindent leírtam.
R_123BWA0Ha1oMgRZ,6,2020/03/09 17:35:36,2020/03/09 18:59:59,402-16,Female,23,Egyetem,1,kulturális antropológia MA,Fixed,Control,4,2,4,5,3,3,3,3,4,4,2,4,3,3,3,2,4,3,3,3,4,4,4,5,5,4,4,3,3,3,0,2,1,2,2,1,1,2,2,3,2,1,3,2,3,3,3,3,3,3,2,3,2,2,3,4,2,4,4,3,3,3,5,2,2,5,5,5,NA,5,5,2,5,2,5,3,3,5,4,5,2,Nem,Közepesen fontos.,5,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Ez  a vizsgálat a kitöltok intelligencia szintjét próbálja meghatározni, és az a célja, hogy egy egyszerubb, otthon is elvégezhetob tesztet kialakítsanak.",Csak egy feladattípus volt benne.
R_12J3Omlx381rag9,2,2019/09/26 15:59:36,2019/09/26 18:43:45,P-402-13,Female,18,Folyamatban lévo egyetemi tanulmányok,0,"OT magyar, angol",Fixed,Control,5,3,4,4,1,2,1,2,4,4,3,3,2,3,3,1,4,4,3,5,4,3,2,5,5,4,3,3,2,2,1,2,2,2,1,3,3,1,3,1,4,2,4,4,4,2,4,3,5,2,4,2,4,5,3,2,2,3,5,4,2,2,6,6,1,4,4,6,NA,4,4,3,5,5,3,3,3,3,3,3,1,Nem,Különösen fontos.,2,Soha,Egy csészével.,Négy egységnyit fogyasztottam.,"Nem, nem használtam.","Egy otthon is kitöltheto teszt öszeállítása, amely hitelesen méri az alany intelligencia szintjét.",Nem.
R_12lpmgsToBbE5Km,2,2020/03/02 17:58:07,2020/03/02 18:57:11,P-402-13,Female,19,Folyamatban lévo egyetemi tanulmányok,1,Germanisztika (Nemzetiségi szakirány),Growth,Mindfulness,2,5,2,3,3,2,3,2,3,4,3,3,4,4,3,2,3,4,4,3,4,2,2,3,2,1,5,1,2,2,1,1,0,1,1,2,0,4,4,3,2,2,4,4,4,4,3,1,3,5,4,5,2,3,4,3,5,3,1,2,4,3,1,3,4,4,5,3,NA,5,7,1,4,5,1,1,5,1,5,6,3,Nem,Közepesen fontos.,3,Havonta,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Szerintem a koncentrációs képességek és esetleg a stresszes helyzetek ""megélésének"" a vizsgálata is jelen volt a kísérletben.","Sokszor voltak hasonló feladatok,amik nagyon egyszerunek tuntek, de mégis azok voltak a legnehezebbek. A feladatok utáni kérdésekben kétszer volt ugyanaz a kérdés. ""Jobban sueretnék teljesíteni, mint mások"" (Legalábbis azt hiszem,hogy ez volt az)"
R_12RnzeYSaJdwmTD,1,2019/10/21 17:25:01,2019/10/21 18:40:14,P-402-12,Female,20,Folyamatban lévo egyetemi tanulmányok,0,anglisztika,Fixed,Mindfulness,3,4,2,3,2,1,1,1,2,3,3,2,2,2,2,2,4,2,2,4,3,3,3,2,3,4,3,3,1,2,2,1,1,1,1,3,1,3,2,3,2,2,3,3,3,2,2,2,4,3,4,3,4,2,3,4,4,1,3,2,4,3,3,3,3,4,5,4,NA,5,7,5,7,7,6,5,6,7,6,7,5,Nem,Fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Intelligencia-szintet méro feladatokat végeztünk el, illetve hanganyagot hallgattunk, amely bebizonyította, hogy befolyásolni tudjuk figyelmünket és érzéseinket úgy, hogy összpontosítunk egy adott feladatra és nem kalandozunk el közben.",Nem.
R_12sg64RT29HEMX6,1,2019/10/10 17:30:19,2019/10/10 18:34:15,P-422-03,Female,23,Folyamatban lévo egyetemi tanulmányok,6,tanári,Growth,Control,1,6,1,4,3,4,4,4,4,4,4,3,2,2,1,4,1,1,5,1,5,5,3,3,4,2,1,5,3,3,0,3,0,3,3,0,0,4,3,4,4,1,4,4,4,4,4,4,3,5,1,5,5,5,5,5,6,4,1,6,1,6,1,1,6,1,3,5,2,2,3,1,5,5,1,1,3,1,3,4,1,Igen,Fontos.,4,Havonta,Három csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.",IQ-teszt felmérés,Ismétlodo kérdésekre az utolsó résznél.
R_12xXceyppKMkC4C,4,2019/10/03 17:58:00,2019/10/03 18:44:13,P-422-03,Female,24,Egyetem,9,biztosítási és pénzügyi matematika,Fixed,Mindfulness,2,5,5,3,3,4,2,2,2,4,1,2,2,3,2,3,4,3,4,4,4,3,3,3,4,3,4,2,2,1,1,1,1,1,0,1,1,2,2,1,4,1,3,3,3,2,2,3,3,3,2,2,2,3,3,1,1,3,3,2,4,2,3,3,2,3,3,5,NA,5,5,7,7,6,7,7,5,7,4,6,4,Nem,Különösen fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.",Létrehoztak egy új IQ tesztet és azt szeretnék tesztelni.,"Csak  azt, hogy azt írta ki az elején, hogy átlag alatti vagyok :( 

Szerintem jobb lett volna amúgy, ha nem 45 másodperc van a feladatok megoldására, hanem mondjuk 90."
R_1CDA2o9RhcZkPSR,11,2019/04/11 18:10:40,2019/04/11 19:42:12,P-422-14,Female,28,Egyetem,9,Emberi eroforrás tanácsadó,Fixed,Control,2,5,3,3,3,3,2,3,4,2,3,3,3,3,2,3,3,4,4,4,4,3,4,4,3,4,4,3,3,2,1,2,1,2,1,1,1,3,2,3,3,3,2,2,3,3,2,2,4,3,3,5,3,2,4,5,2,3,4,1,6,1,6,6,1,5,5,6,NA,6,6,4,6,6,6,4,5,6,6,7,6,Nem,Fontos.,4,Havonta,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","A feladatok az intelligencia szintet határozták meg, figyelembe véve a személy érzelmi állapotát, életmódját és az intellektussal kapcsolatos eddigi nézoponjtját.","Az idohatárok kevesek voltak a feladatok gyors átlátásához számomra. Jómagam gyengénlátónak számítok, ezért is okozott nehézséget a rövid idohatár."
R_1CkIF0IkGdIeexf,2,2019/04/29 17:58:01,2019/04/29 18:52:10,P-422-20,Female,21,Folyamatban lévo egyetemi tanulmányok,1,gyógypedagógia,Fixed,Mindfulness,5,2,5,5,2,2,3,3,2,3,2,2,3,4,2,2,4,5,5,2,5,4,3,3,4,4,4,2,3,3,0,2,0,2,2,0,0,2,3,3,4,1,1,2,3,2,3,2,3,3,2,4,2,2,5,4,3,5,6,5,3,2,5,4,3,4,3,6,3,7,7,7,7,7,7,7,7,7,7,7,7,Igen,Fontos.,5,Soha,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Azt vizsgálja, hogy van-e különbség az emberek teljesítményéban, ha úgymond laborítóriumi körülmények között vagy otthoni környezetben végzik el a teszteket.","Nem tudom, mennyire számít különösnek, hogy néhány feladatot nehéznek találtam..."
R_1cULdEeTJD1SeGQ,1,2019/04/29 17:57:38,2019/04/29 19:04:07,P-422-18,Female,24,Egyetem,1,Neveléstudomány MA,Growth,Mindfulness,3,4,3,3,3,4,3,4,3,2,2,4,2,4,4,4,3,4,4,4,5,3,2,4,5,3,5,3,3,3,1,2,1,2,1,2,1,3,3,4,4,2,3,3,4,3,2,4,2,4,2,5,2,1,5,5,4,4,3,3,3,2,5,6,1,6,4,6,NA,7,7,1,7,7,7,1,7,7,7,7,6,Nem,Fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Ez a vizsgálat az intelligencia vizsgálatról szólt, hogy megvizsgálják a különbséget az otthoni nyugott környezetben elért teljesítmény és a laboratóriumi teljesítmény között.",Volt egy meditációs légzo gyakorlatra lehetoség
R_1cXPMSPBo1lW6eB,3,2019/10/21 17:25:41,2019/10/21 18:46:39,P-402-16,Male,21,Érettségi,4,Sportszervezés,Growth,Mindfulness,5,3,4,5,2,2,2,3,2,3,1,4,4,4,3,2,4,3,2,2,3,3,3,4,4,4,3,3,3,3,1,2,1,2,2,2,1,2,2,3,2,1,3,2,2,2,2,2,3,3,4,3,3,4,3,3,3,5,3,2,3,3,4,3,3,4,4,5,NA,5,5,1,4,6,1,4,5,1,5,4,2,Nem,Fontos.,4,Soha,Két csészével.,Két egységnyit fogyasztottam.,"Nem, nem használtam.","Milyen mértékben befolyásolható megfelelo koncentrációval a z intellektuális tudás. Mennyit számít az eros összpontosítás egy adott feladat, készség eloször, majd  jovobeni elvégzéséhez. képest.",Nem mondhatnám.
