response_id,extra_tasks,start_date,end_date,comput_id,gender,age,education,term_no,field,mindset,intervention,ms_1,ms_2,ms_3,ms_4,cams_1,cams_2,cams_3,cams_4,cams_5,cams_6,cams_7,cams_8,cams_9,cams_10,cams_11,cams_12,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,se_1,se_2,se_3,se_4,se_5,se_6,se_7,se_8,se_9,risc_1,risc_2,risc_3,risc_4,risc_5,risc_6,risc_7,risc_8,risc_9,risc_10,risc_11,grit_1,grit_2,grit_3,grit_4,grit_5,grit_6,grit_7,grit_8,mc_1,mc_2,mc_3,outro_experiences_1,outro_experiences_2,outro_experiences_3,outro_experiences_4,outro_experiences_5,outro_experiences_6,outro_experiences_7,outro_experiences_8,outro_experiences_9,previous_iq_score,agq_1,agq_2,agq_3,agq_4,agq_5,agq_6,agq_7,agq_8,agq_9,agq_10,agq_11,agq_12,agt_p_1,agt_p_2,agt_p_3,agt_p_4,agt_p_5,agt_p_6,agt_p_7,agt_p_8,agt_p_9,agt_p_10,agt_p_11,agt_p_12,iq_assessed,iq_importance,iq_confid_1,meditation,coffee,alcohol,drug,what1,what2,iq_final,iq_practice,iq_real,iq_warmup,ms_mean,se_mean,cams_mean,sc_mean,risc_mean,grit_mean,agq_sap,agq_sav,agq_oap,agq_oav,agq_tap,agq_tav,agt_p_sap,agt_p_sav,agt_p_oap,agt_p_oav,agt_p_tap,agt_p_tav,out_1,out_2,out_3
R_06WwyVG4704ThIJ,1,2019/10/10 17:31:18,2019/10/10 18:43:27,P-422-02,Female,19,Folyamatban lévo egyetemi tanulmányok,0,Germanisztika,Fixed,Mindfulness,5,5,6,5,3,1,1,1,2,3,1,2,2,1,2,2,1,2,1,1,1,1,3,1,1,2,1,2,2,2,1,1,2,1,1,0,0,3,2,4,1,4,3,4,2,2,2,1,1,5,3,3,2,4,1,3,3,2,2,2,5,2,3,3,3,3,5,4,NA,7,6,2,6,4,4,4,2,6,7,7,6,6,6,3,6,5,5,4,2,6,7,6,6,Nem,Különösen fontos.,4,Egy héten többször,Két csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Az intelligencia szint felmérése, koncentrálóképesség igénybevétele.",Nem,0.3333333333333333,0.058823529411764705,0.75,0.25,5.25,1.1111111111111112,1.75,1.4166666666666667,2.5454545454545454,2.75,3,6.5,3,5,7,6,3.5,6,3.5,5.5,6.5,6,-0.12593022922040012,-0.49299183196181634,-0.20242460800086606
R_117UsPDvdwaNZ4N,5,2019/09/26 17:47:33,2019/09/26 18:48:13,P-402-10,Female,20,Folyamatban lévo egyetemi tanulmányok,2,Programtervezo informatikus,Fixed,Control,3,3,3,2,3,2,3,2,4,3,3,3,3,3,4,3,2,4,3,3,4,5,3,3,3,4,4,4,2,3,2,2,3,2,2,2,2,2,2,3,3,2,3,3,3,3,3,2,3,4,3,1,3,2,2,1,2,3,4,2,3,2,4,5,2,6,5,4,NA,6,7,5,6,6,5,5,6,5,6,7,5,6,6,5,6,6,5,5,6,6,6,6,5,Nem,Fontos.,4,Havonta,Egy csészével.,Négy egységnyit fogyasztottam.,"Nem, nem használtam.","A vizsgálat célja az ábrák közötti kapcsolatok megtalálása volt, amit néha teljesen egyértelmu volt, néhol pedig szinte átláthatalan. Így biztosan a feladatok nehézsége alapján vonnak majd le következtetéseket.","Mivel még korábban sosem vettem részt IQ tsztben, nem tudom máshoz hasonlítani. Néhol meglepo volt a feladatok közti hasonlóság.",0.5,0.29411764705882354,0.75,0.75,2.75,2.2222222222222223,3,3.5,2.6363636363636362,2.375,6,7,5,5,6,5.5,6,6,5,5.5,6,5.5,0.9098261023092956,-0.4484218145248093,-0.2179971688535597
R_11hDyW1gHGjL0fD,2,2019/05/06 18:03:08,2019/05/06 18:56:48,P-422-20,Female,20,Folyamatban lévo egyetemi tanulmányok,1,Pszichológia,Growth,Mindfulness,2,2,2,1,2,2,1,2,4,1,3,4,3,1,2,1,2,2,2,2,2,3,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,2,3,2,4,2,4,3,4,1,4,1,5,4,4,2,3,5,2,2,3,2,5,1,5,2,5,6,1,5,3,5,NA,7,7,1,7,1,7,1,1,7,7,7,7,7,7,1,7,1,7,1,1,7,7,7,7,Nem,Különösen fontos.,3,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Az, hogy lássák a különbséget az otthoni, kényelmes, és a laboratóriumi, kevésbé kényelmes kitöltések eredményei között, hogy lássák, mennyiben befolyásolja a kérdoív alkalmazhatóságát a laboratóriumi körülmény.","Nem igazán, csak magamon.",0.4166666666666667,0.11764705882352941,0.9166666666666666,0.75,1.75,1.1111111111111112,2.1666666666666665,2,2.727272727272727,3.375,1,7,1,7,7,7,1,7,1,7,7,7,0.9459317236023874,-1.2109279838945697,0.6793627031336548
R_11YBVIGqVZlXAmG,4,2019/10/10 17:34:43,2019/10/10 18:51:35,P-402-19,Male,23,Folyamatban lévo egyetemi tanulmányok,0,Pszichológia,Fixed,Mindfulness,2,2,2,2,4,2,2,4,4,3,2,4,4,4,3,3,5,5,4,5,3,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,3,4,3,4,2,5,3,4,3,3,3,6,1,5,1,6,1,2,2,5,2,1,5,3,6,5,7,2,4,2,7,7,2,6,6,4,6,4,6,2,3,2,6,6,2,7,6,4,Igen,Különösen fontos.,6,Egy héten többször,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Van egy olyan tippem, hogy a bemelegíto feladatokra kapott értékelés, miszerint átlag alatti képességeim vannak, hamis volt.. Ezzel egyfajta mesterséges stresszhelyzetet szerettek volna generálni, ami a folytatásban önbizalomvesztéshez vezethetett volna, és negatívan hatott volna a késobbi teljesítményemre.
A hanganyag ennek az érzésnek a leküzdésében szeretett volna segíteni, viszont ez a gondolat, - miszerint az értékelés hamis - már a hanganyag hallgatása közben megfogalmazódott bennem, így teljes mértékben ki tudtam zárni, és ugyanolyan lelkesedéssel tudtam folytatni az éles tesztet.",Feljebb mindent leírtam.,0.5833333333333334,0.23529411764705882,0.9166666666666666,0.5833333333333334,2,3,3.25,4.083333333333333,3,3.375,5.5,5.5,7,2,6,3,4.5,5,6,2,6.5,3,-1.3005406523120566,-1.303641850362431,0.6295461226971929
R_123BWA0Ha1oMgRZ,6,2020/03/09 17:35:36,2020/03/09 18:59:59,402-16,Female,23,Egyetem,1,kulturális antropológia MA,Fixed,Control,3,2,3,2,3,2,3,3,4,1,3,4,3,3,3,2,2,3,3,3,4,4,4,1,1,4,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,1,3,2,3,3,3,3,3,3,2,3,2,2,3,2,2,4,4,3,3,3,5,2,2,5,5,5,NA,5,5,3,5,3,4,4,4,4,5,5,2,5,5,2,5,2,5,3,3,5,4,5,2,Nem,Közepesen fontos.,5,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Ez  a vizsgálat a kitöltok intelligencia szintjét próbálja meghatározni, és az a célja, hogy egy egyszerubb, otthon is elvégezhetob tesztet kialakítsanak.",Csak egy feladattípus volt benne.,0.5,0.35294117647058826,0.8333333333333334,0.5833333333333334,2.5,2.3333333333333335,2.8333333333333335,2.8333333333333335,2.4545454545454546,2.5,3.5,5,3.5,4,5,3.5,2.5,5,2.5,5,4.5,3.5,0.37848535935769195,0.3108618605115106,0.5939481375255616
R_12J3Omlx381rag9,2,2019/09/26 15:59:36,2019/09/26 18:43:45,P-402-13,Female,18,Folyamatban lévo egyetemi tanulmányok,0,"OT magyar, angol",Fixed,Control,2,3,3,3,1,3,1,2,4,1,2,3,2,3,3,1,2,4,3,1,4,3,2,1,1,4,3,3,2,2,2,2,1,2,1,0,0,1,3,1,4,2,4,4,4,2,4,3,5,4,4,4,4,5,3,4,2,3,5,4,2,2,6,6,1,4,4,6,NA,6,4,4,6,6,4,3,4,5,6,6,2,4,4,3,5,5,3,3,3,3,3,3,1,Nem,Különösen fontos.,2,Soha,Egy csészével.,Négy egységnyit fogyasztottam.,"Nem, nem használtam.","Egy otthon is kitöltheto teszt öszeállítása, amely hitelesen méri az alany intelligencia szintjét.",Nem.,0.5,0.11764705882352941,0.6666666666666666,0.6666666666666666,2.75,1.3333333333333333,2.1666666666666665,2.5833333333333335,2.909090909090909,4.125,5,5,3.5,4.5,6,4,4,3.5,3,3,3.5,3,1.0931962114122866,0.6670035620281293,1.5485926461585957
R_12lpmgsToBbE5Km,2,2020/03/02 17:58:07,2020/03/02 18:57:11,P-402-13,Female,19,Folyamatban lévo egyetemi tanulmányok,1,Germanisztika (Nemzetiségi szakirány),Growth,Mindfulness,5,5,5,4,3,3,3,2,3,1,2,3,4,4,3,2,3,4,4,3,4,2,2,3,4,1,1,5,2,2,2,1,3,1,1,1,3,4,4,3,2,2,4,4,4,4,3,1,3,1,4,1,2,3,2,3,5,3,1,2,4,3,1,3,4,4,5,3,NA,5,7,1,6,7,1,1,5,1,7,6,2,5,7,1,4,5,1,1,5,1,5,6,3,Nem,Közepesen fontos.,3,Havonta,Egy csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Szerintem a koncentrációs képességek és esetleg a stresszes helyzetek ""megélésének"" a vizsgálata is jelen volt a kísérletben.","Sokszor voltak hasonló feladatok,amik nagyon egyszerunek tuntek, de mégis azok voltak a legnehezebbek. A feladatok utáni kérdésekben kétszer volt ugyanaz a kérdés. ""Jobban sueretnék teljesíteni, mint mások"" (Legalábbis azt hiszem,hogy ez volt az)",0.5,0.11764705882352941,0.6666666666666666,0.4166666666666667,4.75,1.7777777777777777,2.75,3,3.1818181818181817,2.375,6,6.5,1,1,6,4,5,6.5,1,1,5,3.5,-0.3898802131713249,-0.326734440155697,-1.0955307224030943
R_12RnzeYSaJdwmTD,1,2019/10/21 17:25:01,2019/10/21 18:40:14,P-402-12,Female,20,Folyamatban lévo egyetemi tanulmányok,0,anglisztika,Fixed,Mindfulness,4,4,5,4,2,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,3,4,3,3,1,2,1,1,2,1,1,0,2,3,2,3,2,2,3,3,3,2,2,2,4,3,4,3,4,2,3,2,4,1,3,2,4,3,3,3,3,4,5,4,NA,5,6,4,6,6,7,5,6,7,6,7,4,5,7,5,7,7,6,5,6,7,6,7,5,Nem,Fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.","Intelligencia-szintet méro feladatokat végeztünk el, illetve hanganyagot hallgattunk, amely bebizonyította, hogy befolyásolni tudjuk figyelmünket és érzéseinket úgy, hogy összpontosítunk egy adott feladatra és nem kalandozunk el közben.",Nem.,0.5,0.058823529411764705,0.9166666666666666,0.75,4.25,1.2222222222222223,2,2.8333333333333335,2.4545454545454546,3.125,6,6.5,4.5,7,5.5,5,6.5,7,5,6.5,5.5,6,0.012847505944961368,-0.3382524743210176,-0.23377810893827278
R_12sg64RT29HEMX6,1,2019/10/10 17:30:19,2019/10/10 18:34:15,P-422-03,Female,23,Folyamatban lévo egyetemi tanulmányok,6,tanári,Growth,Control,6,6,6,3,3,1,4,4,4,1,1,3,2,2,1,4,5,1,5,5,5,5,3,3,2,2,5,1,3,3,3,3,3,3,3,3,3,4,3,4,4,1,4,4,4,4,4,4,3,1,1,1,5,5,1,1,6,4,1,6,1,6,1,1,6,1,3,5,2,1,3,1,1,7,1,1,1,1,3,3,1,2,3,1,5,5,1,1,3,1,3,4,1,Igen,Fontos.,4,Havonta,Három csészével.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.",IQ-teszt felmérés,Ismétlodo kérdésekre az utolsó résznél.,0.4166666666666667,0.058823529411764705,0.6666666666666666,0.3333333333333333,5.25,3,2.5,3.5,3.6363636363636362,2.25,4,3,1,1,2,1,4,3.5,1,1,2.5,3,-1.6289260843472115,2.3807199302852426,0.5833685092005121
R_12xXceyppKMkC4C,4,2019/10/03 17:58:00,2019/10/03 18:44:13,P-422-03,Female,24,Egyetem,9,biztosítási és pénzügyi matematika,Fixed,Mindfulness,5,5,2,4,3,1,2,2,2,1,4,2,2,3,2,3,2,3,4,2,4,3,3,3,2,3,2,4,2,1,2,1,2,1,0,2,2,2,2,1,4,1,3,3,3,2,2,3,3,3,2,4,2,3,3,5,1,3,3,2,4,2,3,3,2,3,3,5,NA,7,4,7,6,7,7,7,3,7,7,6,7,5,5,7,7,6,7,7,5,7,4,6,4,Nem,Különösen fontos.,4,Soha,Semennyit.,Egyáltalán nem fogyasztottam.,"Nem, nem használtam.",Létrehoztak egy új IQ tesztet és azt szeretnék tesztelni.,"Csak  azt, hogy azt írta ki az elején, hogy átlag alatti vagyok :( 

Szerintem jobb lett volna amúgy, ha nem 45 másodperc van a feladatok megoldására, hanem mondjuk 90.",0.5833333333333334,0.17647058823529413,0.9166666666666666,0.6666666666666666,4,1.4444444444444444,2.25,2.9166666666666665,2.3636363636363638,3.125,5,5,7,7,7,6.5,5.5,5.5,7,7,4.5,5.5,-0.2630521403184874,-0.45932666773672354,0.6426223859408404
